Season,Club,Points,Won,GF,GA,GD
2004-2005,Chelsea,95,29,72,15,57
2005-2006,Chelsea,91,29,72,22,50
2006-2007,Manchester United,89,28,83,27,56
2007-2008,Manchester United,87,27,80,22,58
2008-2009,Manchester United,90,28,68,24,44
2009-2010,Chelsea,86,27,103,32,71
2010-2011,Manchester United,80,23,78,37,41
2011-2012,Manchester City,89,28,93,29,64
2012-2013,Manchster United,89,28,86,43,43
2013-2014,Manchester City,86,27,102,37,65
2014-2015,Chelsea,87,26,73,32,87
2015-2016,Leicster City,81,23,68,36,32
2016-2017,Chelsea,93,30,85,33,52
2017-2018,Manchester City,100,32,106,27,79
2018-2019,Manchester City,98,32,95,23,72
2019-2020,Liverpool,99,32,85,33,52















